メニュー,platform,external_id,video_url,video_id,動画URL,投稿者,時間,食材,味,油感,特徴,詳細食材タグ,ingredient_categories,temperature,effort,dishes,knife,heat,thumbnail_url,ingredient_score,richness_score,taste_level
ご飯のおかわりが止まらない！「甘辛ごまチキン」#shorts #food #recipe #簡単料理 #簡単レシピ #料理 #レシピ,youtube,oDee3Kv78-8,https://www.youtube.com/watch?v=oDee3Kv78-8,oDee3Kv78-8,https://www.youtube.com/watch?v=oDee3Kv78-8,低空飛行キッチン,normal,鶏肉,semi-rich,2,YouTube Data API収集,chicken,鶏肉,warm,3,2,true,true,https://i.ytimg.com/vi/oDee3Kv78-8/maxresdefault.jpg,6.0,5.3,ややがっつり
ご飯がすすみまくるぞ！「鶏むね肉の甘酢マヨチキン」#shorts #food #recipe #簡単料理 #簡単レシピ #料理 #レシピ,youtube,QYbWnB1xD_4,https://www.youtube.com/watch?v=QYbWnB1xD_4,QYbWnB1xD_4,https://www.youtube.com/watch?v=QYbWnB1xD_4,低空飛行キッチン,normal,鶏肉、白身魚、ネギ、にんにく、マヨネーズ,rich,4,YouTube Data API収集,"chicken,whitefish,green_onion,garlic,mayonnaise",鶏肉;魚介;葉物野菜;根菜;チーズ・バター・マヨ系,warm,3,2,true,true,https://i.ytimg.com/vi/QYbWnB1xD_4/maxresdefault.jpg,6.36,6.72,がっつり
洗い物も少ないし/生焼けの心配もない/いいとこ尽くしの【食べたらハンバーグ丼】詳しいレシピは概要欄を見てね♪#晩ごはん #丼ぶり #ハンバーグ#ひき肉 #簡単レシピ #レシピ動画 #料理動画,youtube,-LnlkzhU5xE,https://www.youtube.com/watch?v=-LnlkzhU5xE,-LnlkzhU5xE,https://www.youtube.com/watch?v=-LnlkzhU5xE,デリッシュキッチン,easy,挽肉、白身魚、卵、ご飯・米、ネギ、玉ねぎ,semi-light,2,YouTube Data API収集,"minced_meat,whitefish,egg,rice,green_onion,onion",肉類;魚介;卵;米;葉物野菜;根菜,warm,1,1,true,true,https://i.ytimg.com/vi/-LnlkzhU5xE/maxresdefault.jpg,5.55,4.93,ややあっさり
夫がまた作ってと言った『ジャーマンポテト』 #簡単レシピ,youtube,tGm-3KMBTkY,https://www.youtube.com/watch?v=tGm-3KMBTkY,tGm-3KMBTkY,https://www.youtube.com/watch?v=tGm-3KMBTkY,さな〻旦那胃袋つかみメシ🍳,normal,じゃが芋,light,2,YouTube Data API収集,potato,根菜,warm,3,2,true,true,https://i.ytimg.com/vi/tGm-3KMBTkY/maxresdefault.jpg,3.0,3.5,あっさり
味がしみしみ！いくらでも食べられる 【こんにゃく串】 詳しいレシピは概要欄をチェック！ #料理 #おつまみ #簡単レシピ #こんにゃく #おうちごはん,youtube,NzGN6hcD2Ow,https://www.youtube.com/watch?v=NzGN6hcD2Ow,NzGN6hcD2Ow,https://www.youtube.com/watch?v=NzGN6hcD2Ow,デリッシュキッチン,easy,こんにゃく,light,2,YouTube Data API収集,konnyaku,根菜,warm,3,2,false,true,https://i.ytimg.com/vi/NzGN6hcD2Ow/maxresdefault.jpg,3.0,3.4,あっさり
【なすで巻くだけで白米10杯おかわりしちゃう】暑い日にこそ食べたい絶品おかずレシピ / Pork & Eggplant Rolls #shorts,youtube,_SPj1rYrRrc,https://www.youtube.com/watch?v=_SPj1rYrRrc,_SPj1rYrRrc,https://www.youtube.com/watch?v=_SPj1rYrRrc,Tasty Japan,normal,豚肉、白身魚、ご飯・米、なす,semi-light,2,YouTube Data API収集,"pork,whitefish,rice,eggplant",肉類;魚介;米;葉物野菜,warm,3,2,true,true,https://i.ytimg.com/vi/_SPj1rYrRrc/maxresdefault.jpg,5.72,5.13,ややあっさり
忙しい日でも簡単に作れる最強に美味しい照り照り目玉焼き,youtube,L5pe410Yx5c,https://www.youtube.com/watch?v=L5pe410Yx5c,L5pe410Yx5c,https://www.youtube.com/watch?v=L5pe410Yx5c,ハマごはん【お手軽レシピ】,normal,ベーコン、白身魚、卵,rich,4,YouTube Data API収集,"bacon,whitefish,egg",肉類;魚介;卵,warm,3,2,false,true,https://i.ytimg.com/vi/L5pe410Yx5c/maxresdefault.jpg,6.37,6.72,がっつり
【卵液不要】10分でチーズ溢れる豚しそカツ| 包丁も使いません。,youtube,LSbSjMdWCOc,https://www.youtube.com/watch?v=LSbSjMdWCOc,LSbSjMdWCOc,https://www.youtube.com/watch?v=LSbSjMdWCOc,簡単レシピ🤍東京OLむむちゃん,easy,豚肉、鶏肉、卵、チーズ、マヨネーズ,rich,5,YouTube Data API収集,"pork,chicken,egg,cheese,mayonnaise",肉類;鶏肉;卵;チーズ・バター・マヨ系,warm,3,2,true,true,https://i.ytimg.com/vi/LSbSjMdWCOc/maxresdefault.jpg,8.07,8.24,がっつり
罪悪感ゼロなのにやみつき！のり塩ささみ #簡単レシピ #cooking #料理,youtube,w8huiYRwxkM,https://www.youtube.com/watch?v=w8huiYRwxkM,w8huiYRwxkM,https://www.youtube.com/watch?v=w8huiYRwxkM,あも | 元給食の先生のおうちごはん,normal,鶏肉,semi-rich,2,YouTube Data API収集,chicken,鶏肉,warm,3,2,true,true,https://i.ytimg.com/vi/w8huiYRwxkM/maxresdefault.jpg,6.0,5.3,ややがっつり
【インスタで1000万再生突破！蒸しキャベツと野菜のうまだれ】 #簡単レシピ#キャベツ #ヘルシーレシピ #レシピ,youtube,QzsXY_PZrvQ,https://www.youtube.com/watch?v=QzsXY_PZrvQ,QzsXY_PZrvQ,https://www.youtube.com/watch?v=QzsXY_PZrvQ,DOKIN,normal,キャベツ,light,1,YouTube Data API収集,cabbage,葉物野菜,warm,3,2,true,true,https://i.ytimg.com/vi/QzsXY_PZrvQ/maxresdefault.jpg,1.0,1.7,あっさり
