tag,label,category,standard_serving_g,unit_name,unit_g,memo
beef,牛肉,肉類,200,g,1,主菜として1人前200gを基準
pork,豚肉,肉類,200,g,1,主菜として1人前200gを基準
minced_meat,挽肉,肉類,150,g,1,丼・炒め物・ハンバーグ等の1人前目安
ham,ハム,肉類,40,枚,10,1枚10gとして換算
bacon,ベーコン,肉類,40,枚,20,1枚20gとして換算
chicken,鶏肉,鶏肉,200,g,1,主菜として1人前200gを基準
salmon,サケ,魚介,100,切れ,100,1切れ100gとして換算
mackerel,サバ,魚介,100,切れ,100,1切れ100gとして換算
yellowtail,ブリ,魚介,100,切れ,100,1切れ100gとして換算
whitefish,白身魚,魚介,100,切れ,100,1切れ100gとして換算
aji,アジ,魚介,100,尾,100,1尾100gとして換算
shrimp,えび,魚介,80,尾,20,中サイズ1尾20gとして換算
shellfish,貝,魚介,80,g,1,むき身・可食部80gを基準
octopus,たこ,魚介,80,g,1,1人前80gを基準
tuna_sashimi,マグロ,魚介,100,g,1,刺身・漬け丼の1人前目安
canned_tuna,ツナ,魚介,70,缶,70,1缶70gとして換算
tofu,豆腐,豆腐・大豆系,150,丁,300,1丁300gとして換算
atsuage,厚揚げ,豆腐・大豆系,100,枚,100,1枚100gとして換算
aburaage,油揚げ,豆腐・大豆系,30,枚,30,1枚30gとして換算
natto,納豆,豆腐・大豆系,45,パック,45,1パック45gとして換算
egg,卵,卵,50,個,50,1個50gとして換算
quail_egg,うずら卵,卵,10,個,10,1個10gとして換算
rice,ご飯・米,米,150,杯,150,茶碗1杯150gとして換算
udon,うどん,麺,200,玉,200,1玉200gとして換算
soba,そば,麺,180,束,100,乾麺1束100gとして換算
noodles,中華麺,麺,150,玉,150,1玉150gとして換算
somen,そうめん,麺,100,束,50,1束50gとして換算
ramen,ラーメン,麺,150,玉,150,1玉150gとして換算
yakisoba_noodles,焼きそば麺,麺,150,玉,150,1玉150gとして換算
rice_noodles,ビーフン・フォー,麺,100,g,1,乾麺100gを基準
pasta,パスタ,麺,100,g,1,乾麺100gを基準
harusame,春雨,麺,50,g,1,乾燥春雨50gを基準
cabbage,キャベツ,葉物野菜,100,枚,50,大きめ1枚50gとして換算
lettuce,レタス,葉物野菜,80,枚,30,1枚30gとして換算
spinach,ほうれん草,葉物野菜,80,束,200,1束200gとして換算
komatsuna,小松菜,葉物野菜,80,束,200,1束200gとして換算
nira,にら,葉物野菜,50,束,100,1束100gとして換算
green_onion,ネギ,葉物野菜,30,本,100,1本100gとして換算
bean_sprouts,もやし,葉物野菜,100,袋,200,1袋200gとして換算
cucumber,きゅうり,葉物野菜,100,本,100,1本100gとして換算
tomato,トマト,葉物野菜,150,個,150,1個150gとして換算
eggplant,なす,葉物野菜,80,本,80,1本80gとして換算
bell_pepper,ピーマン,葉物野菜,30,個,30,1個30gとして換算
broccoli,ブロッコリー,葉物野菜,80,株,250,1株250gとして換算
bitter_melon,ゴーヤ,葉物野菜,100,本,250,1本250gとして換算
potato,じゃが芋,根菜,120,個,150,1個150gとして換算
onion,玉ねぎ,根菜,100,個,200,1個200gとして換算
carrot,にんじん,根菜,60,本,150,1本150gとして換算
daikon,大根,根菜,100,本,900,1本900gとして換算
burdock,ごぼう,根菜,60,本,150,1本150gとして換算
pumpkin,かぼちゃ,根菜,100,個,1200,1個1200gとして換算
sweet_potato,さつま芋,根菜,120,本,200,1本200gとして換算
taro,里芋,根菜,100,個,50,1個50gとして換算
lotus_root,レンコン,根菜,80,節,200,1節200gとして換算
corn,コーン缶,根菜,100,缶,400,1缶400gとして換算
enoki,えのき茸,きのこ,50,袋,100,1袋100gとして換算
shimeji,しめじ,きのこ,50,パック,100,1パック100gとして換算
shiitake,しいたけ,きのこ,40,個,15,1個15gとして換算
butter,バター,チーズ・バター・マヨ系,10,g,1,油感側にも効くため少量基準
cheese,チーズ,チーズ・バター・マヨ系,30,枚,18,スライス1枚18gとして換算
mayonnaise,マヨネーズ,チーズ・バター・マヨ系,15,大さじ,12,大さじ1=12gとして換算
milk,牛乳,チーズ・バター・マヨ系,100,ml,1,100mlを100g相当として換算
