platform,external_id,video_url,video_id,url,title,channel,published_at,description,thumbnail_url,view_count,like_count,embeddable,privacy_status
youtube,oDee3Kv78-8,https://www.youtube.com/watch?v=oDee3Kv78-8,oDee3Kv78-8,https://www.youtube.com/watch?v=oDee3Kv78-8,ご飯のおかわりが止まらない！「甘辛ごまチキン」#shorts #food #recipe #簡単料理 #簡単レシピ #料理 #レシピ,低空飛行キッチン,2024-07-18T13:07:52Z,,https://i.ytimg.com/vi/oDee3Kv78-8/maxresdefault.jpg,1608058,41196,True,public
youtube,QYbWnB1xD_4,https://www.youtube.com/watch?v=QYbWnB1xD_4,QYbWnB1xD_4,https://www.youtube.com/watch?v=QYbWnB1xD_4,ご飯がすすみまくるぞ！「鶏むね肉の甘酢マヨチキン」#shorts #food #recipe #簡単料理 #簡単レシピ #料理 #レシピ,低空飛行キッチン,2024-08-30T13:32:46Z,"【お知らせ📘🎉】
初レシピ本「仕事帰りでも作れる！家族が喜ぶ すぐできごはん」発売中です🎉
→Amazon･楽天・書店にてお求めいただけます✨電子版もあるよ☆

〈楽天でのご購入↓〉
https://a.r10.to/hkp3CR

〈Amazonでのご購入↓〉
https://www.amazon.co.jp/dp/4046070137/

【材料】※2人前
■鶏胸肉…350g
■片栗粉…大さじ4
■マヨネーズ　  適量
■ごま油…大さじ2
■刻みネギ…適量
■白いりごま…適量
〈柔らか下味液〉
・酒…大さじ1
・にんにくチューブ…小さじ1
・砂糖…小さじ1
・塩こしょう…少々
（A）お酢…大さじ1
（A）醤油…大さじ1
（A）砂糖…大さじ1
（A）みりん…大さじ1

【作り方】
①鶏胸肉は厚さ1cmのそぎ切りにし、食べやすい大きさに切る。

②ポリ袋に①と〈柔らか下味液〉を入れてもみこみ20分置く。

③②に片栗粉を2回に加えてまぶす。

④ごま油を中火で熱し、③を両面火が通るまで焼く。
【🔴ポイント】
鶏胸肉は火を通しすぎるとパサつくので、火が通ればOK

⑤余分な油をキッチンペーパーでふきとり、（A）を加えて全体にからめる。汁気が少なくなってきたら器に盛り、マヨネーズ、刻みネギ、白いりごまを散らす。",https://i.ytimg.com/vi/QYbWnB1xD_4/maxresdefault.jpg,2139334,64916,True,public
youtube,-LnlkzhU5xE,https://www.youtube.com/watch?v=-LnlkzhU5xE,-LnlkzhU5xE,https://www.youtube.com/watch?v=-LnlkzhU5xE,洗い物も少ないし/生焼けの心配もない/いいとこ尽くしの【食べたらハンバーグ丼】詳しいレシピは概要欄を見てね♪#晩ごはん #丼ぶり #ハンバーグ#ひき肉 #簡単レシピ #レシピ動画 #料理動画,デリッシュキッチン,2025-03-25T03:00:00Z,"簡単にさっと作れるどんぶりごはんのご紹介！忙しい日や手を抜きたい日にもおすすめです♪

▶︎チャンネル登録はこちら
https://bit.ly/2VyMCa5

▶︎詳しくは”無料の公式アプリ”から検索！
https://app.adjust.com/193f3eso


■材料 (3人分)
・ごはん　どんぶり3杯(600g)
・合いびき肉　350g
・卵　3個
・玉ねぎ　1個(200g)
・塩こしょう　少々
・サラダ油　大さじ1
☆調味料
・ケチャップ　大さじ4
・ウスターソース　大さじ3

■手順
(1)玉ねぎはみじん切りにする。
(2)フライパンにサラダ油を入れて中火で熱し、玉ねぎを入れてしんなりとするまで炒める。合いびき肉を加えて塩こしょうをふる。焼きつけるように押さえながら肉に火が通るまで炒める。(焼きつけながらごろごろとした食感が残る程度にほぐすと食べ応えが出ます。)
(3)☆を加えて水気を飛ばしながら1〜2分炒める。三箇所に卵を落として弱火にし、卵がかたまるまで5分ほど熱する。(卵はお好みのかたさに仕上げてください。ふたをすると黄身が白っぽくなるのでふたをせずに加熱しています。)
(4)器にごはんを盛り、3をのせる。(お好みで野菜を添えてください。)

▶︎au Short(旧5Gチャンネル)でもデリッシュキッチンの簡単レシピを配信中！
https://app5g.page.link/fr67

※料理を楽しむにあたり、気をつけていただきたいこと
　https://corp.every.tv/cooking_notes

----------------------------------
お問い合わせはこちら
https://help.delishkitchen.tv/hc/ja/requests/new
----------------------------------
声：音読さん",https://i.ytimg.com/vi/-LnlkzhU5xE/maxresdefault.jpg,4503529,119893,True,public
youtube,tGm-3KMBTkY,https://www.youtube.com/watch?v=tGm-3KMBTkY,tGm-3KMBTkY,https://www.youtube.com/watch?v=tGm-3KMBTkY,夫がまた作ってと言った『ジャーマンポテト』 #簡単レシピ,さな〻旦那胃袋つかみメシ🍳,2024-09-19T08:00:39Z,,https://i.ytimg.com/vi/tGm-3KMBTkY/maxresdefault.jpg,1276952,18411,True,public
youtube,NzGN6hcD2Ow,https://www.youtube.com/watch?v=NzGN6hcD2Ow,NzGN6hcD2Ow,https://www.youtube.com/watch?v=NzGN6hcD2Ow,味がしみしみ！いくらでも食べられる　【こんにゃく串】　 詳しいレシピは概要欄をチェック！ #料理 #おつまみ  #簡単レシピ #こんにゃく #おうちごはん,デリッシュキッチン,2025-04-23T03:15:06Z,"こんにゃくを薄く切って蛇腹に串に刺して作るこんにゃく串！
おつまみにもおやつにもおすすめです♪

▶︎チャンネル登録はこちら
https://bit.ly/2VyMCa5

▶︎詳しくは”無料の公式アプリ”から検索！
https://app.adjust.com/193f3eso


■材料 (こんにゃく1枚分)
・こんにゃく　1枚(250g)
・ごま油　大さじ1
☆調味料
・酒　大さじ1
・みりん　大さじ2
・砂糖　大さじ1
・しょうゆ　大さじ2
・唐辛子(輪切り)　小さじ1

■手順
(1)こんにゃくは長い辺を2〜3mm幅に切る。ボウルにこんにゃく、塩(分量外:大さじ1)を入れてもみこみ、水で洗う。
(2)3〜4切れずつ竹串に蛇腹状に刺す。
(3)フライパンにごま油を入れて中火で熱し、1を並べ入れる。上下を返してごま油をなじませるように1〜2分焼く。
(4)☆を加えて汁気がほどんど無くなるまで全体にからめながら焼く。(辛いのが苦手な方は唐辛子抜きでお作りください。)

▶︎au Short(旧5Gチャンネル)でもデリッシュキッチンの簡単レシピを配信中！
https://app5g.page.link/fr67

※料理を楽しむにあたり、気をつけていただきたいこと
　https://corp.every.tv/cooking_notes

----------------------------------
お問い合わせはこちら
https://help.delishkitchen.tv/hc/ja/requests/new
----------------------------------
声：音読さん",https://i.ytimg.com/vi/NzGN6hcD2Ow/maxresdefault.jpg,13844083,228550,True,public
youtube,_SPj1rYrRrc,https://www.youtube.com/watch?v=_SPj1rYrRrc,_SPj1rYrRrc,https://www.youtube.com/watch?v=_SPj1rYrRrc,【なすで巻くだけで白米10杯おかわりしちゃう】暑い日にこそ食べたい絶品おかずレシピ / Pork & Eggplant Rolls #shorts,Tasty Japan,2024-06-25T02:00:13Z,"豚バラで巻くのではなく、豚バラをなすで巻くレシピ！簡単だけど、とってもおいしいレシピです。白米10杯おかわりしちゃうくらい、子どもが大好きな味！お酒にも合うので、大人もおつまみとして楽しめます！暑い日にこそ、ビール片手に食べたくなる一品です。

豚バラのなす巻き
2人分

材料：
長なす　1本
豚バラ肉（薄切り）　150g
【A】塩　小さじ1/2
【A】コショウ　適量
片栗粉　適量
揚げ油　適量

作り方：
① なすはヘタを取り、ピーラーで薄切りにする。
② ①に【A】をまぶした豚バラ肉をのせ、手前から奥に向かって巻く。片栗粉をまんべんなくつける。
③ 揚げ物用の鍋に底から1センチまで揚げ油を注ぎ、170度に熱する。②を入れ、こんがりと揚げたら、完成！

===

Pork & Eggplant Rolls
Servings: 2

INGREDIENTS
1 eggplant
150g pork belly thin slices
A
1/2 teaspoon salt
Pepper, as needed
Potato starch, as needed
Frying oil, as needed

PREPARATION
1. Remove the stem from the eggplant. With a peeler (or a slicer), slice it thinly.
2. Season the pork with salt and pepper (A). Place the pork on the eggplant slices (1) and roll. Coat with potato starch.
3. Pour the oil in a frying pot (to cover 1cm depth) and heat to 170°C/ 338°F. Fry (2) until crispy.
4. Enjoy!

#TastyJapan 

#レシピ

MUSIC
Licensed via Epidemic Sound",https://i.ytimg.com/vi/_SPj1rYrRrc/maxresdefault.jpg,1307324,15928,True,public
youtube,L5pe410Yx5c,https://www.youtube.com/watch?v=L5pe410Yx5c,L5pe410Yx5c,https://www.youtube.com/watch?v=L5pe410Yx5c,忙しい日でも簡単に作れる最強に美味しい照り照り目玉焼き,ハマごはん【お手軽レシピ】,2024-06-08T12:55:58Z,"忙しい朝も簡単に作れて大満足する超絶に美味しいレシピが完成しました！

【最強に美味しい照り照り目玉焼き】

【材料】
醤油大さじ1
みりん大さじ1
砂糖小さじ1
サラダ油小さじ1
ベーコン2枚
たまご2個

【作り方】
①容器に醤油大さじ1、みりん大さじ1、砂糖小さじ1を加えてタレを作る
②熱したフライパンにサラダ油小さじ1を引いて中火でベーコンを焼色がつくまで炒める
③弱火に変えてたまご2個を落としたら作ったタレを全体にたっぷりとかけてたまごをお好みで焼いたら完成

#shorts #時短レシピ#簡単レシピ #目玉焼き",https://i.ytimg.com/vi/L5pe410Yx5c/maxresdefault.jpg,4378080,105943,True,public
youtube,LSbSjMdWCOc,https://www.youtube.com/watch?v=LSbSjMdWCOc,LSbSjMdWCOc,https://www.youtube.com/watch?v=LSbSjMdWCOc,【卵液不要】10分でチーズ溢れる豚しそカツ| 包丁も使いません。,簡単レシピ🤍東京OLむむちゃん,2026-02-24T09:00:26Z,"大好評のささみチーズカツの作り方で、第二弾作りました！
ささみのように、筋取りが不要なので、さらに楽ちんに作れるレシピです☺️

🧀材料(6-7個分)
豚バラ200g (豚ロース薄切りでも⭕️)
スライスチーズ　3-4枚
大葉　6-7枚

マヨネーズ　適量
パン粉　大さじ5くらい
サラダ油　適量

🐷作り方
①ラップを敷いて、豚バラを半分にカット
②豚バラを二枚重ねにして並べる
③大葉を水で洗って軸を取り、②の上に並べる
④スライスチーズ半分を③の上に並べる
⑤ラップの一片の端と端を持って折りたたむ
⑥マヨネーズをかけて、スプーンで伸ばす
⑦パン粉大さじ2.5くらいを振りかける
⑧ラップを閉じて、裏面も同様に。
⑨中火でサラダ油を熱したフライパンで焼き目がつくまで焼く
⑩美味しく食べる

#簡単レシピ 
#時短レシピ 
#節約
#料理 
#チーズ
#とんかつ
#自炊 
#揚げない",https://i.ytimg.com/vi/LSbSjMdWCOc/maxresdefault.jpg,3219431,0,True,public
youtube,lPgrnE8kK_8,https://www.youtube.com/watch?v=lPgrnE8kK_8,lPgrnE8kK_8,https://www.youtube.com/watch?v=lPgrnE8kK_8,なんかめっちゃバズって取材依頼が来たレシピ #簡単レシピ #お弁当 #shorts,経塚翼 - Tsubasa Kyoduka -,2023-08-02T08:22:22Z,,https://i.ytimg.com/vi/lPgrnE8kK_8/maxresdefault.jpg,5566276,150888,True,public
youtube,w8huiYRwxkM,https://www.youtube.com/watch?v=w8huiYRwxkM,w8huiYRwxkM,https://www.youtube.com/watch?v=w8huiYRwxkM,罪悪感ゼロなのにやみつき！のり塩ささみ #簡単レシピ #cooking #料理,あも | 元給食の先生のおうちごはん,2025-08-25T09:09:15Z,,https://i.ytimg.com/vi/w8huiYRwxkM/maxresdefault.jpg,341096,3745,True,public
